trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.6065306597126334, 'a': 0.5}",25,0,-140.9084679930126,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'e': 0.36787944117144233, 'a': 0.5}",30,0,-169.61620333362347,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'e': 0.22313016014842982, 'a': 0.5}",20,0,-55.84756760496195,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'e': 0.1353352832366127, 'a': 0.5}",25,11,-53.05998200405164,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 0}",1
5,False,"{'e': 0.0820849986238988, 'a': 0.5}",25,0,-166.4815937004315,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'e': 0.049787068367863944, 'a': 0.5}",25,0,-174.74832039047115,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
7,False,"{'e': 0.0301973834223185, 'a': 0.5}",25,0,-71.51189281871228,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
8,False,"{'e': 0.01831563888873418, 'a': 0.5}",20,0,-71.44700958353006,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
9,False,"{'e': 0.011108996538242306, 'a': 0.5}",20,0,-87.09377870935111,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
10,False,"{'e': 0.006737946999085467, 'a': 0.5}",20,2,-58.81554584687031,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
11,False,"{'e': 0.004086771438464067, 'a': 0.5}",20,6,-94.35939298738475,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 1}",1
12,False,"{'e': 0.0024787521766663585, 'a': 0.5}",20,9,-74.68651677834742,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
13,False,"{'e': 0.0015034391929775724, 'a': 0.5}",30,0,-118.32867005900381,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
14,False,"{'e': 0.0009118819655545162, 'a': 0.5}",20,11,-13.64121702564708,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'e': 0.0005530843701478336, 'a': 0.5}",20,0,-134.67540803528945,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'e': 0.00033546262790251185, 'a': 0.5}",25,0,-118.75884251929016,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,False,"{'e': 0.00020346836901064417, 'a': 0.5}",30,0,-135.22800970861906,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
18,False,"{'e': 0.00012340980408667956, 'a': 0.5}",20,0,-84.27198775725975,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
19,False,"{'e': 7.48518298877006e-05, 'a': 0.5}",20,0,-125.48982443828275,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
20,False,"{'e': 4.5399929762484854e-05, 'a': 0.5}",20,0,-48.34297082728366,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,0,-119.85296603991064,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
2,True,"{'e': 0, 'a': 0}",30,0,-117.33206846358601,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",20,0,-73.5280736420483,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,True,"{'e': 0, 'a': 0}",25,0,-140.11565077026586,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,True,"{'e': 0, 'a': 0}",20,0,-88.82137050713563,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,True,"{'e': 0, 'a': 0}",25,11,-130.8599641093283,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 2}",1
7,True,"{'e': 0, 'a': 0}",25,0,-238.90595166288784,"{0: 11, 1: 4, 2: 5, 3: 1, 4: 4}",0
8,True,"{'e': 0, 'a': 0}",20,0,-47.003258778918685,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
9,True,"{'e': 0, 'a': 0}",20,0,-107.52556179286447,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,True,"{'e': 0, 'a': 0}",20,12,-67.74413370698441,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 1}",1
